sparsity,method,latency
20,best,
20,baseline,
20,predictive,
20,lookahead,
20,sa,
40,best,0.90173855
40,baseline,2.63606853
40,predictive,3.31061223
40,lookahead,
40,sa,2.118507447
60,best,0.73116316
60,baseline,1.92856920
60,predictive,2.05603644
60,lookahead,
60,sa,1.289909799
85,best,0.51794739
85,baseline,0.93999038
85,predictive,0.84781276
85,lookahead,0.67548763
85,sa,0.675972405
90,best,0.47529317
90,baseline,0.74754439
90,predictive,0.63848039 
90,lookahead,0.54621392
90,sa,0.551446071
95,best,0.43265971
95,baseline,0.53477675
95,predictive,0.45454739
95,lookahead,0.44003839
95,sa,0.450408112
