sparsity,method,latency
20,best,
20,baseline,
20,reuse,
20,lookahead,
20,sa,
40,best,31.90528498
40,baseline,189.69611276
40,reuse,147.85708785
40,lookahead,0
40,sa,32.30528498
50,best,28.25044844
50,baseline,166.79594455
50,reuse,117.06532704
50,lookahead,0
50,sa,29.25044844
60,best,24.59591295 
60,baseline,140.00842914
60,reuse,85.94637843
60,lookahead,0
60,sa,25.698886871
80,best,17.28654092
80,baseline,76.14524439
80,reuse,31.04322172
80,lookahead,0
80,sa,17.349724814
85,best,15.45932335
85,baseline,58.18784771
85,reuse,21.42999703
85,lookahead,0
85,sa,15.482668256
90,best,13.63190508
90,baseline,39.51305280
90,reuse,15.71812044
90,lookahead,0
90,sa,13.635349197
